Date,Open,High,Low,Close,Adj Close,Volume
2014-11-10,2.510000,2.580000,2.460000,2.550000,2.550000,44900
2014-11-11,2.490000,2.580000,2.490000,2.580000,2.580000,17000
2014-11-12,2.540000,2.550000,2.540000,2.550000,2.550000,2400
2014-11-13,2.520000,2.540000,2.500000,2.530000,2.530000,3400
2014-11-14,2.440000,2.580000,2.430000,2.580000,2.580000,24900
2014-11-17,2.570000,2.650000,2.560000,2.630000,2.630000,28100
2014-11-18,2.630000,2.640000,2.610000,2.640000,2.640000,6000
2014-11-19,2.600000,2.650000,2.510000,2.640000,2.640000,16400
2014-11-20,2.620000,2.650000,2.620000,2.640000,2.640000,11800
2014-11-21,2.630000,2.650000,2.550000,2.650000,2.650000,28000
2014-11-24,2.660000,2.660000,2.610000,2.640000,2.640000,14800
2014-11-25,2.620000,2.700000,2.620000,2.700000,2.700000,15800
2014-11-26,2.690000,2.690000,2.690000,2.690000,2.690000,2000
2014-11-28,2.670000,2.700000,2.660000,2.660000,2.660000,30500
2014-12-01,2.630000,2.660000,2.410000,2.410000,2.410000,38400
2014-12-02,2.420000,2.600000,2.420000,2.510000,2.510000,12100
2014-12-03,2.480000,2.550000,2.480000,2.550000,2.550000,2000
2014-12-04,2.590000,2.590000,2.550000,2.570000,2.570000,5900
2014-12-05,2.570000,2.570000,2.480000,2.550000,2.550000,7400
2014-12-08,2.550000,2.550000,2.480000,2.550000,2.550000,17300
2014-12-09,2.570000,2.650000,2.570000,2.630000,2.630000,11700
2014-12-10,2.600000,2.660000,2.520000,2.520000,2.520000,26600
2014-12-11,2.590000,2.630000,2.560000,2.560000,2.560000,10000
2014-12-12,2.500000,2.540000,2.490000,2.540000,2.540000,23400
2014-12-15,2.490000,2.570000,2.470000,2.540000,2.540000,19600
2014-12-16,2.520000,2.550000,2.500000,2.540000,2.540000,8700
2014-12-17,2.550000,2.590000,2.540000,2.540000,2.540000,3700
2014-12-18,2.550000,2.600000,2.530000,2.540000,2.540000,12900
2014-12-19,2.560000,2.580000,2.500000,2.580000,2.580000,8800
2014-12-22,2.570000,2.570000,2.470000,2.490000,2.490000,45400
2014-12-23,2.470000,2.500000,2.410000,2.500000,2.500000,22100
2014-12-24,2.450000,2.500000,2.430000,2.490000,2.490000,14700
2014-12-26,2.480000,2.500000,2.450000,2.470000,2.470000,6900
2014-12-29,2.420000,2.470000,2.410000,2.420000,2.420000,24900
2014-12-30,2.450000,2.460000,2.410000,2.440000,2.440000,30400
2014-12-31,2.420000,2.470000,2.420000,2.440000,2.440000,31000
2015-01-02,2.350000,2.460000,2.340000,2.400000,2.400000,59600
2015-01-05,2.400000,2.450000,2.370000,2.370000,2.370000,29100
2015-01-06,2.370000,2.400000,2.370000,2.380000,2.380000,15200
2015-01-07,2.400000,2.400000,2.360000,2.400000,2.400000,16800
2015-01-08,2.380000,2.400000,2.370000,2.390000,2.390000,4700
2015-01-09,2.360000,2.470000,2.360000,2.460000,2.460000,9400
2015-01-12,2.400000,2.450000,2.370000,2.400000,2.400000,12100
2015-01-13,2.380000,2.410000,2.380000,2.410000,2.410000,4700
2015-01-14,2.400000,2.400000,2.350000,2.390000,2.390000,14200
2015-01-15,2.370000,2.400000,2.360000,2.400000,2.400000,4500
2015-01-16,2.390000,2.400000,2.350000,2.380000,2.380000,50700
2015-01-20,2.340000,2.370000,2.340000,2.370000,2.370000,16300
2015-01-21,2.330000,2.440000,2.320000,2.370000,2.370000,33800
2015-01-22,2.330000,2.390000,2.330000,2.330000,2.330000,20500
2015-01-23,2.350000,2.400000,2.340000,2.380000,2.380000,19100
2015-01-26,2.330000,2.380000,2.330000,2.350000,2.350000,16000
2015-01-27,2.350000,2.370000,2.350000,2.350000,2.350000,2700
2015-01-28,2.330000,2.380000,2.320000,2.350000,2.350000,15700
2015-01-29,2.350000,2.360000,2.320000,2.330000,2.330000,30200
2015-01-30,2.330000,2.330000,2.310000,2.310000,2.310000,19400
2015-02-02,2.310000,2.310000,2.180000,2.290000,2.290000,45600
2015-02-03,2.300000,2.350000,2.300000,2.300000,2.300000,23700
2015-02-04,2.340000,2.350000,2.310000,2.350000,2.350000,5100
2015-02-05,2.280000,2.320000,2.280000,2.310000,2.310000,5400
2015-02-06,2.310000,2.310000,2.260000,2.300000,2.300000,54500
2015-02-09,2.300000,2.380000,2.290000,2.380000,2.380000,32500
2015-02-10,2.390000,2.490000,2.380000,2.460000,2.460000,88300
2015-02-11,2.460000,2.470000,2.380000,2.470000,2.470000,17600
2015-02-12,2.430000,2.460000,2.400000,2.450000,2.450000,11400
2015-02-13,2.390000,2.460000,2.390000,2.440000,2.440000,7900
2015-02-17,2.380000,2.420000,2.380000,2.410000,2.410000,15000
2015-02-18,2.430000,2.430000,2.370000,2.390000,2.390000,7500
2015-02-19,2.380000,2.470000,2.380000,2.430000,2.430000,76300
2015-02-20,2.400000,2.460000,2.400000,2.460000,2.460000,3500
2015-02-23,2.410000,2.430000,2.400000,2.430000,2.430000,10300
2015-02-24,2.390000,2.450000,2.390000,2.410000,2.410000,3200
2015-02-25,2.350000,2.420000,2.350000,2.380000,2.380000,5900
2015-02-26,2.370000,2.420000,2.370000,2.390000,2.390000,900
2015-02-27,2.370000,2.420000,2.370000,2.420000,2.420000,400
2015-03-02,2.380000,2.460000,2.370000,2.420000,2.420000,36300
2015-03-03,2.330000,2.370000,2.300000,2.330000,2.330000,54200
2015-03-04,2.300000,2.370000,2.300000,2.350000,2.350000,11000
2015-03-05,2.330000,2.380000,2.330000,2.360000,2.360000,11700
2015-03-06,2.310000,2.370000,2.310000,2.350000,2.350000,4800
2015-03-09,2.330000,2.350000,2.320000,2.340000,2.340000,4600
2015-03-10,2.320000,2.370000,2.320000,2.340000,2.340000,5600
2015-03-11,2.310000,2.370000,2.290000,2.300000,2.300000,28300
2015-03-12,2.340000,2.340000,2.300000,2.300000,2.300000,700
2015-03-13,2.300000,2.320000,2.300000,2.320000,2.320000,1900
2015-03-16,2.280000,2.350000,2.280000,2.340000,2.340000,12400
2015-03-17,2.310000,2.340000,2.310000,2.320000,2.320000,8600
2015-03-18,2.320000,2.320000,2.320000,2.320000,2.320000,0
2015-03-19,2.320000,2.340000,2.320000,2.330000,2.330000,7200
2015-03-20,2.340000,2.350000,2.340000,2.340000,2.340000,7800
2015-03-23,2.300000,2.340000,2.300000,2.330000,2.330000,15400
2015-03-24,2.340000,2.380000,2.320000,2.380000,2.380000,16600
2015-03-25,2.380000,2.380000,2.380000,2.380000,2.380000,0
2015-03-26,2.370000,2.380000,2.370000,2.370000,2.370000,16000
2015-03-27,2.370000,2.390000,2.370000,2.380000,2.380000,17100
2015-03-30,2.370000,2.370000,2.370000,2.370000,2.370000,1600
2015-03-31,2.390000,2.390000,2.320000,2.350000,2.350000,23600
2015-04-01,2.340000,2.360000,2.340000,2.360000,2.360000,3700
2015-04-02,2.360000,2.370000,2.360000,2.360000,2.360000,3500
2015-04-06,2.360000,2.380000,2.360000,2.380000,2.380000,2200
2015-04-07,2.330000,2.380000,2.330000,2.350000,2.350000,14900
2015-04-08,2.350000,2.360000,2.320000,2.340000,2.340000,13400
2015-04-09,2.320000,2.360000,2.320000,2.340000,2.340000,1500
